col_0,col_1
152,1
176,1
142,1
75,1
152,1
142,1
142,1
176,1
121,1
142,1
142,1
142,1
142,1
152,1
142,1
176,1
220,1
176,1
152,1
61,1
152,1
142,1
142,1
142,1
142,1
176,1
142,1
152,1
142,1
142,1
176,1
152,1
142,1
142,1
142,1
142,1
152,1
152,1
142,1
152,1
152,1
76,1
142,1
142,1
152,1
152,1
152,1
142,1
142,1
75,1
76,1
152,1
142,1
142,1
142,1
142,1
142,1
121,1
142,1
121,1
121,1
142,1
152,1
152,1
152,1
142,1
176,1
142,1
152,1
142,1
28,1
152,1
75,1
195,1
61,1
142,1
152,1
111,1
142,1
152,1
142,1
142,1
143,1
176,1
111,1
142,1
142,1
142,1
142,1
142,1
152,1
195,1
142,1
143,1
142,1
142,1
142,1
142,1
142,1
122,1
142,1
142,1
142,1
142,1
142,1
142,1
123,1
152,1
142,1
176,1
142,1
152,1
33,1
152,1
142,1
152,1
61,1
152,1
142,1
76,1
176,1
121,1
142,1
142,1
176,1
121,1
142,1
152,1
122,1
152,1
142,1
152,1
152,1
142,1
142,1
44,1
142,1
75,1
176,1
152,1
61,1
142,1
152,1
152,1
152,1
122,1
152,1
142,1
24,1
152,1
152,1
176,1
142,1
76,1
142,1
152,1
152,1
142,1
142,1
142,1
176,1
142,1
142,1
142,1
152,1
152,1
61,1
152,1
27,1
142,1
152,1
142,1
75,1
122,1
152,1
24,1
142,1
142,1
111,1
152,1
152,1
142,1
24,1
210,1
142,1
122,1
142,1
142,1
142,1
152,1
142,1
76,1
176,1
142,1
142,1
54,1
142,1
152,1
176,1
142,1
121,1
75,1
152,1
142,1
3,1
152,1
152,1
142,1
152,1
142,1
152,1
3,1
142,1
142,1
210,1
143,1
75,1
142,1
142,1
142,1
152,1
142,1
122,1
152,1
176,1
142,1
176,1
142,1
152,1
124,1
152,1
152,1
142,1
152,1
24,1
111,1
142,1
176,1
142,1
142,1
142,1
142,1
142,1
176,1
142,1
142,1
152,1
176,1
122,1
152,1
142,1
121,1
152,1
142,1
152,1
142,1
152,1
152,1
142,1
152,1
142,1
152,1
142,1
176,1
142,1
142,1
152,1
24,1
75,1
152,1
176,1
152,1
124,1
142,1
152,1
121,1
176,1
142,1
142,1
122,1
142,1
152,1
195,1
61,1
61,1
152,1
152,1
142,1
142,1
142,1
152,1
54,1
142,1
122,1
176,1
142,1
142,1
61,1
152,1
76,1
61,1
142,1
152,1
152,1
3,1
142,1
142,1
142,1
123,1
152,1
54,1
152,1
122,1
142,1
142,1
152,1
61,1
142,1
142,1
142,1
205,1
142,1
152,1
152,1
142,1
176,1
152,1
75,1
142,1
6,1
152,1
142,1
76,1
142,1
142,1
152,1
142,1
176,1
143,1
142,1
142,1
121,1
142,1
111,1
176,1
176,1
121,1
152,1
142,1
142,1
142,1
142,1
152,1
142,1
111,1
152,1
143,1
176,1
152,1
123,1
142,1
152,1
142,1
142,1
142,1
75,1
142,1
142,1
6,1
152,1
142,1
1,1
142,1
3,1
142,1
142,1
142,1
152,1
152,1
37,1
142,1
142,1
142,1
142,1
142,1
142,1
152,1
152,1
142,1
152,1
152,1
176,1
152,1
152,1
121,1
176,1
75,1
142,1
176,1
142,1
142,1
152,1
142,1
152,1
152,1
142,1
152,1
176,1
111,1
152,1
142,1
3,1
142,1
152,1
121,1
142,1
152,1
24,1
152,1
142,1
142,1
28,1
152,1
142,1
152,1
152,1
142,1
142,1
152,1
142,1
142,1
111,1
142,1
142,1
121,1
176,1
142,1
142,1
142,1
152,1
142,1
142,1
152,1
142,1
152,1
142,1
142,1
142,1
54,1
152,1
142,1
176,1
142,1
142,1
176,1
152,1
152,1
152,1
61,1
152,1
142,1
142,1
142,1
142,1
142,1
142,1
142,1
142,1
142,1
176,1
152,1
142,1
142,1
176,1
152,1
61,1
176,1
142,1
142,1
142,1
176,1
176,1
3,1
142,1
142,1
142,1
152,1
152,1
142,1
142,1
142,1
152,1
142,1
142,1
142,1
176,1
152,1
142,1
142,1
152,1
76,1
142,1
61,1
33,1
142,1
142,1
76,1
142,1
76,1
142,1
142,1
152,1
142,1
152,1
142,1
142,1
152,1
152,1
142,1
152,1
142,1
76,1
142,1
142,1
142,1
142,1
37,1
152,1
152,1
142,1
176,1
142,1
142,1
142,1
142,1
61,1
176,1
142,1
152,1
152,1
142,1
152,1
3,1
152,1
176,1
176,1
121,1
152,1
122,1
152,1
37,1
176,1
176,1
142,1
111,1
142,1
142,1
176,1
152,1
152,1
142,1
142,1
176,1
142,1
142,1
3,1
176,1
152,1
76,1
61,1
142,1
142,1
152,1
142,1
152,1
142,1
152,1
142,1
3,1
152,1
152,1
152,1
142,1
176,1
142,1
142,1
142,1
152,1
152,1
21,1
176,1
152,1
142,1
152,1
142,1
142,1
142,1
75,1
142,1
152,1
142,1
152,1
121,1
142,1
152,1
142,1
121,1
152,1
152,1
142,1
142,1
152,1
152,1
152,1
210,1
152,1
176,1
190,1
142,1
142,1
142,1
76,1
190,1
3,1
142,1
152,1
152,1
142,1
142,1
152,1
75,1
152,1
152,1
121,1
142,1
142,1
142,1
36,1
3,1
142,1
122,1
142,1
122,1
142,1
142,1
152,1
111,1
111,1
121,1
123,1
176,1
152,1
176,1
124,1
190,1
61,1
142,1
142,1
76,1
152,1
152,1
152,1
142,1
142,1
143,1
142,1
210,1
111,1
142,1
142,1
142,1
152,1
142,1
111,1
176,1
75,1
176,1
123,1
142,1
142,1
69,1
142,1
142,1
152,1
176,1
152,1
152,1
142,1
142,1
61,1
142,1
142,1
152,1
176,1
36,1
152,1
176,1
152,1
142,1
142,1
142,1
152,1
152,1
142,1
176,1
142,1
142,1
76,1
142,1
76,1
152,1
152,1
121,1
142,1
152,1
152,1
142,1
142,1
152,1
152,1
76,1
142,1
142,1
121,1
142,1
142,1
152,1
152,1
111,1
123,1
152,1
142,1
61,1
152,1
142,1
152,1
142,1
142,1
142,1
152,1
152,1
152,1
3,1
142,1
142,1
75,1
142,1
61,1
111,1
3,1
142,1
142,1
142,1
142,1
142,1
142,1
142,1
152,1
142,1
152,1
220,1
142,1
142,1
142,1
152,1
142,1
152,1
152,1
152,1
142,1
152,1
176,1
142,1
142,1
142,1
142,1
142,1
152,1
142,1
176,1
142,1
28,1
142,1
142,1
142,1
176,1
142,1
142,1
152,1
176,1
142,1
142,1
152,1
152,1
176,1
142,1
142,1
176,1
142,1
142,1
142,1
152,1
142,1
122,1
142,1
152,1
176,1
142,1
142,1
142,1
176,1
142,1
75,1
142,1
142,1
176,1
176,1
142,1
142,1
152,1
142,1
142,1
142,1
142,1
142,1
76,1
152,1
142,1
142,1
176,1
142,1
152,1
142,1
121,1
61,1
142,1
142,1
152,1
142,1
176,1
142,1
176,1
142,1
142,1
152,1
176,1
142,1
121,1
152,1
142,1
142,1
142,1
176,1
111,1
152,1
152,1
152,1
142,1
142,1
142,1
123,1
142,1
152,1
142,1
111,1
142,1
142,1
152,1
176,1
152,1
152,1
176,1
141,1
121,1
142,1
142,1
142,1
54,1
176,1
142,1
176,1
176,1
142,1
122,1
142,1
76,1
54,1
176,1
152,1
152,1
142,1
142,1
152,1
204,1
142,1
61,1
142,1
176,1
152,1
152,1
152,1
142,1
142,1
142,1
152,1
121,1
152,1
152,1
142,1
142,1
142,1
142,1
142,1
