col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
38,38,38,255,32,32,32,255,0
32,32,32,255,36,36,36,255,0
62,62,62,255,169,169,169,255,0
36,36,36,255,38,38,38,255,0
31,31,31,255,169,169,169,255,0
35,35,35,255,34,34,34,255,0
34,34,34,255,37,37,37,255,0
54,54,54,255,42,42,42,255,0
32,32,32,255,143,143,143,255,0
36,36,36,255,134,134,134,255,0
89,89,89,255,35,35,35,255,0
64,64,64,255,40,40,40,255,0
86,86,86,255,42,42,42,255,0
33,33,33,255,38,38,38,255,0
47,47,47,255,32,32,32,255,0
38,38,38,255,38,38,38,255,0
32,32,32,255,73,73,73,255,0
109,109,109,255,38,38,38,255,0
35,35,35,255,91,91,91,255,0
97,97,97,255,59,59,59,255,0
36,36,36,255,39,39,39,255,0
38,38,38,255,38,38,38,255,0
33,33,33,255,37,37,37,255,0
36,36,36,255,39,39,39,255,0
33,33,33,255,37,37,37,255,0
67,67,67,255,37,37,37,255,0
54,54,54,255,34,34,34,255,0
31,31,31,255,41,41,41,255,0
33,33,33,255,41,41,41,255,0
55,55,55,255,114,114,114,255,0
34,34,34,255,35,35,35,255,0
51,51,51,255,168,168,168,255,0
36,36,36,255,33,33,33,255,0
67,67,67,255,108,108,108,255,0
36,36,36,255,30,30,30,255,0
32,32,32,255,38,38,38,255,0
23,23,23,255,40,40,40,255,0
96,96,96,255,36,36,36,255,0
48,48,48,255,38,38,38,255,0
31,31,31,255,38,38,38,255,0
44,44,44,255,74,74,74,255,0
105,105,105,255,173,173,173,255,0
113,113,113,255,170,170,170,255,0
32,32,32,255,76,76,76,255,0
48,48,48,255,41,41,41,255,0
32,32,32,255,33,33,33,255,0
41,41,41,255,41,41,41,255,0
62,62,62,255,27,27,27,255,0
38,38,38,255,39,39,39,255,0
32,32,32,255,37,37,37,255,0
36,36,36,255,71,71,71,255,0
90,90,90,255,52,52,52,255,0
32,32,32,255,32,32,32,255,0
40,40,40,255,172,172,172,255,0
30,30,30,255,42,42,42,255,0
42,42,42,255,38,38,38,255,0
35,35,35,255,31,31,31,255,0
100,100,100,255,113,113,113,255,0
31,31,31,255,36,36,36,255,0
35,35,35,255,105,105,105,255,0
34,34,34,255,40,40,40,255,0
114,114,114,255,88,88,88,255,0
60,60,60,255,39,39,39,255,0
72,72,72,255,60,60,60,255,0
40,40,40,255,38,38,38,255,0
64,64,64,255,37,37,37,255,0
32,32,32,255,81,81,81,255,0
33,33,33,255,105,105,105,255,0
34,34,34,255,177,177,177,255,0
32,32,32,255,31,31,31,255,0
31,31,31,255,82,82,82,255,0
39,39,39,255,33,33,33,255,0
66,66,66,255,90,90,90,255,0
33,33,33,255,84,84,84,255,0
45,45,45,255,32,32,32,255,0
46,46,46,255,110,110,110,255,0
43,43,43,255,33,33,33,255,0
44,44,44,255,37,37,37,255,0
46,46,46,255,38,38,38,255,0
33,33,33,255,119,119,119,255,0
40,40,40,255,134,134,134,255,0
29,29,29,255,138,138,138,255,0
37,37,37,255,39,39,39,255,0
98,98,98,255,39,39,39,255,0
34,34,34,255,35,35,35,255,0
103,103,103,255,21,21,21,255,0
32,32,32,255,35,35,35,255,0
39,39,39,255,34,34,34,255,0
21,21,21,255,37,37,37,255,0
31,31,31,255,94,94,94,255,0
36,36,36,255,32,32,32,255,0
31,31,31,255,39,39,39,255,0
33,33,33,255,8,8,8,255,0
36,36,36,255,63,63,63,255,0
36,36,36,255,69,69,69,255,0
34,34,34,255,32,32,32,255,0
34,34,34,255,108,108,108,255,0
48,48,48,255,76,76,76,255,0
30,30,30,255,40,40,40,255,0
28,28,28,255,92,92,92,255,0
38,38,38,255,60,60,60,255,0
61,61,61,255,42,42,42,255,0
